Question,Document_attendu,Passage_attendu,Reponse_attendue,Reponse_chatbot,Score,Confiance_systeme,Sources_retournees,Answer_in_context
Quels sont les objectifs qualite KPI du systeme ?,procedure_qualite_ISO9001.pdf,Taux de non-conformite produit : objectif < 2% par mois / Satisfaction client (CSAT) : objectif >= 85/100,"Les KPI qualite incluent : taux de NC < 2%/mois, CSAT >= 85/100, delai traitement reclamations <= 5 jours, taux realisation audits >= 90%, efficacite CAPA >= 80%","Réponse basée uniquement sur la base documentaire pour: Quels sont les objectifs qualite KPI du systeme ? — Points cles : - Mesurables, Atteignables, Realistes, Temporels). Les objectifs sont revus trimestriellement en reunion de pilotage. 4.2 Support (Clause 7) : Gerer les competenc | - Conforme (O/N/NA)  Observations / Preuves  7.1  Les ressources (humaines, infrastructure, environnement) sont-elles adequates ?      7.2  Les competences du per | - 4.5 Amelioration (Clause 10) : Traiter les non-conformites, mener des actions correctives, ameliorer continuellement le SMQ par la roue de Deming (PDCA). 5. IND",0.82,Élevé,"procedure_qualite_ISO9001.pdf, checklist_audit_ISO9001.docx, formation_qualite_ISO9001.pptx",?
Quel est le delai maximum pour traiter une non-conformite ?,procedure_qualite_ISO9001.pdf,"L'action corrective doit etre definie, mise en oeuvre et verifiee dans un delai maximal de 30 jours",Le delai maximum pour traiter une action corrective est de 30 jours. Les NC doivent etre enregistrees dans les 24h suivant leur detection.,"Réponse basée uniquement sur la base documentaire pour: Quel est le delai maximum pour traiter une non-conformite ? — Points cles : - 4.5 Amelioration (Clause 10) : Traiter les non-conformites, mener des actions correctives, ameliorer continuellement le SMQ par la roue de Deming (PDCA). 5. IND | - 6. GESTION DES NON-CONFORMITES Toute non-conformite (NC) detectable doit etre enregistree dans le systeme de gestion des NC dans les 24h suivant sa detection. U | - KPI QUALITE — INDICATEURS CLES Taux de non-conformite produit : objectif < 2% / mois Satisfaction client (CSAT) : objectif >= 85/100 Delai traitement reclamatio",0.8,Moyen,"procedure_qualite_ISO9001.pdf, procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx",?
Quelles sont les references normatives du SMQ ?,procedure_qualite_ISO9001.pdf,ISO 9001:2015 — ISO 9000:2015 — ISO 19011:2018,"Les references normatives sont : ISO 9001:2015 (exigences SMQ), ISO 9000:2015 (vocabulaire), ISO 19011:2018 (audit), et EN ISO 13485:2016 pour les dispositifs medicaux.",Réponse basée uniquement sur la base documentaire pour: Quelles sont les references normatives du SMQ ? — Points cles : - LEADERSHIP (Clause 5)  Ref.  Critere d'audit  Conforme (O/N/NA)  Observations / Preuves  5.1  La direction demontre-t-elle son engagement envers le SMQ ?      5 | - - ISO 9000:2015 -- Vocabulaire et principes essentiels - ISO 19011:2018 -- Lignes directrices pour l'audit des systemes de management - EN ISO 13485:2016 -- Dis | - PROCEDURE QUALITE - ISO 9001:2015 Reference : PQ-001 | Version : 3.0 | Date : 2024-01-15 Proprietaire : Responsable Qualite | Criticite : High 1. OBJET ET DOMAI,0.7,Moyen,"checklist_audit_ISO9001.docx, procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx",?
Quels enregistrements sont obligatoires pour la qualite ?,procedure_qualite_ISO9001.pdf,FQE-001 Fiche NC / FQE-002 CAPA / FQE-003 Rapport audit / FQE-004 CR revue direction / FQE-005 Registre formation,"Les enregistrements obligatoires sont : FQE-001 (fiche NC), FQE-002 (CAPA), FQE-003 (rapport audit interne), FQE-004 (CR revue de direction), FQE-005 (registre formation).","Réponse basée uniquement sur la base documentaire pour: Quels enregistrements sont obligatoires pour la qualite ? — Points cles : - Conforme (O/N/NA)  Observations / Preuves  7.1  Les ressources (humaines, infrastructure, environnement) sont-elles adequates ?      7.2  Les competences du per | - Mesurables, Atteignables, Realistes, Temporels). Les objectifs sont revus trimestriellement en reunion de pilotage. 4.2 Support (Clause 7) : Gerer les competenc | - - ISO 9000:2015 -- Vocabulaire et principes essentiels - ISO 19011:2018 -- Lignes directrices pour l'audit des systemes de management - EN ISO 13485:2016 -- Dis",0.79,Élevé,"checklist_audit_ISO9001.docx, procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx",?
Que se passe-t-il en cas de non-conformite recurrente ?,procedure_qualite_ISO9001.pdf,Les NC recurrentes (>3 fois en 6 mois) declenchent automatiquement une revue de processus,Toute non-conformite qui survient plus de 3 fois en 6 mois declenche automatiquement une revue de processus.,"Réponse basée uniquement sur la base documentaire pour: Que se passe-t-il en cas de non-conformite recurrente ? — Points cles : - 6. GESTION DES NON-CONFORMITES Toute non-conformite (NC) detectable doit etre enregistree dans le systeme de gestion des NC dans les 24h suivant sa detection. U | - KPI QUALITE — INDICATEURS CLES Taux de non-conformite produit : objectif < 2% / mois Satisfaction client (CSAT) : objectif >= 85/100 Delai traitement reclamatio | - 4.5 Amelioration (Clause 10) : Traiter les non-conformites, mener des actions correctives, ameliorer continuellement le SMQ par la roue de Deming (PDCA). 5. IND",0.7,Moyen,"procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx, procedure_qualite_ISO9001.pdf",?
Quelles sont les clauses verifiees lors d'un audit interne ISO 9001 ?,checklist_audit_ISO9001.docx,"Clauses 4 (Contexte), 5 (Leadership), 6 (Planification), 7 (Support), 8 (Realisation), 9 (Evaluation), 10 (Amelioration)","L'audit interne verifie les clauses 4 a 10 de la norme ISO 9001:2015 : contexte de l'organisation, leadership, planification, support, realisation, evaluation des performances et amelioration.","Réponse basée uniquement sur la base documentaire pour: Quelles sont les clauses verifiees lors d'un audit interne ISO 9001 ? — Points cles : - CHECKLIST AUDIT QUALITE INTERNE — ISO 9001:2015  Reference : AUDIT-CK-001 | Version : 2.1 | Date : 2024-02-20  Auditeur : ________________________  Site : _____ | - PROCEDURE QUALITE - ISO 9001:2015 Reference : PQ-001 | Version : 3.0 | Date : 2024-01-15 Proprietaire : Responsable Qualite | Criticite : High 1. OBJET ET DOMAI | - Mesurables, Atteignables, Realistes, Temporels). Les objectifs sont revus trimestriellement en reunion de pilotage. 4.2 Support (Clause 7) : Gerer les competenc",1.0,Élevé,"checklist_audit_ISO9001.docx, procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx",?
Comment les parties interessees sont-elles prises en compte ?,checklist_audit_ISO9001.docx,Les parties interessees pertinentes et leurs exigences sont-elles documentees ? (Clause 4.2),La clause 4.2 exige que les parties interessees pertinentes et leurs exigences soient identifiees et documentees.,"Réponse basée uniquement sur la base documentaire pour: Comment les parties interessees sont-elles prises en compte ? — Points cles : - LEADERSHIP (Clause 5)  Ref.  Critere d'audit  Conforme (O/N/NA)  Observations / Preuves  5.1  La direction demontre-t-elle son engagement envers le SMQ ?      5 | - Conforme (O/N/NA)  Observations / Preuves  7.1  Les ressources (humaines, infrastructure, environnement) sont-elles adequates ?      7.2  Les competences du per | - 8.5  La production et la prestation de service sont-elles maitrisees ?      8.7  Les elements de sortie non conformes sont-ils traites ?        EVALUATION DES P",0.8,Moyen,"checklist_audit_ISO9001.docx, procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx",?
Quel est le seuil de validation pour la formation qualite ?,formation_qualite_ISO9001.pptx,QCM de 20 questions — Seuil de validation : 14/20 (70%),"Le seuil de validation est 14/20 (70%). En dessous, un recyclage est requis. L'attestation est delivree si le score est >= 70%.","Réponse basée uniquement sur la base documentaire pour: Quel est le seuil de validation pour la formation qualite ? — Points cles : - OBJECTIFS DE LA FORMATION A l'issue de cette formation, le participant sera capable de :   • Expliquer les principes de la norme ISO 9001:2015   • Identifier sa | - EVALUATION ET CERTIFICATION QCM de 20 questions — Seuil de validation : 14/20 (70%)  Themes evalues :   • Principes ISO 9001 (5 questions)   • Gestion des non-c | - Conforme (O/N/NA)  Observations / Preuves  7.1  Les ressources (humaines, infrastructure, environnement) sont-elles adequates ?      7.2  Les competences du per",1.0,Élevé,"formation_qualite_ISO9001.pptx, checklist_audit_ISO9001.docx, procedure_qualite_ISO9001.pdf",?
Quels sont les 7 principes du management qualite ?,formation_qualite_ISO9001.pptx,1. Orientation client 2. Leadership 3. Implication du personnel 4. Approche processus 5. Amelioration 6. Prise de decision fondee sur preuves 7. Management des relations,"Les 7 principes sont : 1) Orientation client, 2) Leadership, 3) Implication du personnel, 4) Approche processus, 5) Amelioration, 6) Prise de decision fondee sur preuves, 7) Management des relations.",Réponse basée uniquement sur la base documentaire pour: Quels sont les 7 principes du management qualite ? — Points cles : - LES 7 PRINCIPES DU MANAGEMENT QUALITE 1. Orientation client — Satisfaire et depasser les attentes 2. Leadership — La direction cree les conditions de reussite 3 | - - ISO 9000:2015 -- Vocabulaire et principes essentiels - ISO 19011:2018 -- Lignes directrices pour l'audit des systemes de management - EN ISO 13485:2016 -- Dis | - LEADERSHIP (Clause 5)  Ref.  Critere d'audit  Conforme (O/N/NA)  Observations / Preuves  5.1  La direction demontre-t-elle son engagement envers le SMQ ?      5,0.81,Élevé,"formation_qualite_ISO9001.pptx, procedure_qualite_ISO9001.pdf, checklist_audit_ISO9001.docx",?
Quelle est la frequence du recyclage de formation obligatoire ?,formation_qualite_ISO9001.pptx,Recyclage obligatoire tous les 2 ans (FQE-005),"Le recyclage formation est obligatoire tous les 2 ans, reference document FQE-005 (registre de formation et habilitation).","Réponse basée uniquement sur la base documentaire pour: Quelle est la frequence du recyclage de formation obligatoire ? — Points cles : - Mesurables, Atteignables, Realistes, Temporels). Les objectifs sont revus trimestriellement en reunion de pilotage. 4.2 Support (Clause 7) : Gerer les competenc | - OBJECTIFS DE LA FORMATION A l'issue de cette formation, le participant sera capable de :   • Expliquer les principes de la norme ISO 9001:2015   • Identifier sa | - EVALUATION ET CERTIFICATION QCM de 20 questions — Seuil de validation : 14/20 (70%)  Themes evalues :   • Principes ISO 9001 (5 questions)   • Gestion des non-c",1.0,Moyen,"procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx, procedure_qualite_ISO9001.pdf",?
Quelle est la tolerance pour la longueur de piece a l'etape decoupe ?,plan_controle_qualite.xlsx,"Longueur piece : valeur nominale 120.0 mm, tolerance +/-0.2 mm",La valeur nominale est 120.0 mm avec une tolerance de +/- 0.2 mm (plage : 119.8 a 120.2 mm). Le controle est effectue par metre ruban etalonné sur 10% des pieces.,"Réponse basée uniquement sur la base documentaire pour: Quelle est la tolerance pour la longueur de piece a l'etape decoupe ? — Points cles : - N° Etape	Etape de production	Caracteristique controllee	Methode de controle	Instrument	Frequence	Valeur nominale	Tolerance (+/-)	Taille echantillon	Critere d'ac | - PROCEDURE QUALITE - ISO 9001:2015 Reference : PQ-001 | Version : 3.0 | Date : 2024-01-15 Proprietaire : Responsable Qualite | Criticite : High 1. OBJET ET DOMAI | - OBJECTIFS DE LA FORMATION A l'issue de cette formation, le participant sera capable de :   • Expliquer les principes de la norme ISO 9001:2015   • Identifier sa",1.0,Moyen,"plan_controle_qualite.xlsx, procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx",?
Quel est le critere d'acceptation pour le test d'etancheite ?,plan_controle_qualite.xlsx,Test helium : critere < 1e-6 mbar.l/s — Pass/Fail,"Le critere d'acceptation pour l'etancheite est un flux de fuite inferieur a 1e-6 mbar.l/s, verifie par test helium a 100% des pieces produites.","Réponse basée uniquement sur la base documentaire pour: Quel est le critere d'acceptation pour le test d'etancheite ? — Points cles : - CHECKLIST AUDIT QUALITE INTERNE — ISO 9001:2015  Reference : AUDIT-CK-001 | Version : 2.1 | Date : 2024-02-20  Auditeur : ________________________  Site : _____ | - 8.5  La production et la prestation de service sont-elles maitrisees ?      8.7  Les elements de sortie non conformes sont-ils traites ?        EVALUATION DES P | - OBJECTIFS DE LA FORMATION A l'issue de cette formation, le participant sera capable de :   • Expliquer les principes de la norme ISO 9001:2015   • Identifier sa",0.85,Moyen,"checklist_audit_ISO9001.docx, formation_qualite_ISO9001.pptx, procedure_qualite_ISO9001.pdf",?
Quel est l'objectif CSAT en novembre 2024 ?,plan_controle_qualite.xlsx,"CSAT client (/100) : objectif >= 85, valeur novembre : 90","L'objectif CSAT est >= 85/100. En novembre 2024, la valeur atteinte est 90/100, ce qui est au-dessus de l'objectif.","Réponse basée uniquement sur la base documentaire pour: Quel est l'objectif CSAT en novembre 2024 ? — Points cles : - 4.5 Amelioration (Clause 10) : Traiter les non-conformites, mener des actions correctives, ameliorer continuellement le SMQ par la roue de Deming (PDCA). 5. IND | - KPI QUALITE — INDICATEURS CLES Taux de non-conformite produit : objectif < 2% / mois Satisfaction client (CSAT) : objectif >= 85/100 Delai traitement reclamatio | - LA ROUE DE DEMING — PDCA PLAN (Planifier) — Definir objectifs et methodes   Ex : Reduire le taux de NC de 2% a 1.5% en 6 mois  DO (Realiser) — Mettre en oeuvre ",0.93,Moyen,"procedure_qualite_ISO9001.pdf, formation_qualite_ISO9001.pptx, plan_controle_qualite.xlsx",?
Quelle est la temperature de consigne pour le traitement thermique ?,plan_controle_qualite.xlsx,"Temperature four : valeur nominale 180.0 degC, tolerance +/-5.0 degC",La temperature de consigne pour le traitement thermique est 180°C avec une tolerance de +/- 5°C (plage : 175-185°C). Le suivi est continu par thermocouple calibre.,Réponse basée uniquement sur la base documentaire pour: Quelle est la temperature de consigne pour le traitement thermique ? — Points cles : - 4	Decoupe	Angle de coupe	Mesure angulaire	Rapporteur d'angle	5%	90	0.5	5	89.5-90.5 deg	FQC-002	Controleur Q 5	Assemblage	Force d'insertion	Essai fonctionnel	Dyn | - - ISO 9000:2015 -- Vocabulaire et principes essentiels - ISO 19011:2018 -- Lignes directrices pour l'audit des systemes de management - EN ISO 13485:2016 -- Dis | - PROCEDURE QUALITE - ISO 9001:2015 Reference : PQ-001 | Version : 3.0 | Date : 2024-01-15 Proprietaire : Responsable Qualite | Criticite : High 1. OBJET ET DOMAI,0.77,Moyen,"plan_controle_qualite.xlsx, procedure_qualite_ISO9001.pdf, procedure_qualite_ISO9001.pdf",?
Qu'est-ce que la norme ISO 9001 exige concernant les audits internes ?,checklist_audit_ISO9001.docx / procedure_qualite_ISO9001.pdf,Des audits internes sont programmes et realises (Clause 9.2) / Audit interne minimum une fois par an,La clause 9.2 exige que des audits internes soient programmes et realises. La procedure qualite stipule un minimum d'un audit par an. Le taux de realisation cible est >= 90%.,"Réponse basée uniquement sur la base documentaire pour: Qu'est-ce que la norme ISO 9001 exige concernant les audits internes ? — Points cles : - OBJECTIFS DE LA FORMATION A l'issue de cette formation, le participant sera capable de :   • Expliquer les principes de la norme ISO 9001:2015   • Identifier sa | - PROCEDURE QUALITE - ISO 9001:2015 Reference : PQ-001 | Version : 3.0 | Date : 2024-01-15 Proprietaire : Responsable Qualite | Criticite : High 1. OBJET ET DOMAI | - CHECKLIST AUDIT QUALITE INTERNE — ISO 9001:2015  Reference : AUDIT-CK-001 | Version : 2.1 | Date : 2024-02-20  Auditeur : ________________________  Site : _____",0.87,Élevé,"formation_qualite_ISO9001.pptx, procedure_qualite_ISO9001.pdf, checklist_audit_ISO9001.docx",?
