Question,Document_attendu,Passage_attendu,Reponse_attendue,Reponse_chatbot,Score
"Quels sont les objectifs qualite KPI du systeme ?","procedure_qualite_ISO9001.pdf","Taux de non-conformite produit : objectif < 2% par mois / Satisfaction client (CSAT) : objectif >= 85/100","Les KPI qualite incluent : taux de NC < 2%/mois, CSAT >= 85/100, delai traitement reclamations <= 5 jours, taux realisation audits >= 90%, efficacite CAPA >= 80%","",""
"Quel est le delai maximum pour traiter une non-conformite ?","procedure_qualite_ISO9001.pdf","L'action corrective doit etre definie, mise en oeuvre et verifiee dans un delai maximal de 30 jours","Le delai maximum pour traiter une action corrective est de 30 jours. Les NC doivent etre enregistrees dans les 24h suivant leur detection.","",""
"Quelles sont les references normatives du SMQ ?","procedure_qualite_ISO9001.pdf","ISO 9001:2015 — ISO 9000:2015 — ISO 19011:2018","Les references normatives sont : ISO 9001:2015 (exigences SMQ), ISO 9000:2015 (vocabulaire), ISO 19011:2018 (audit), et EN ISO 13485:2016 pour les dispositifs medicaux.","",""
"Quels enregistrements sont obligatoires pour la qualite ?","procedure_qualite_ISO9001.pdf","FQE-001 Fiche NC / FQE-002 CAPA / FQE-003 Rapport audit / FQE-004 CR revue direction / FQE-005 Registre formation","Les enregistrements obligatoires sont : FQE-001 (fiche NC), FQE-002 (CAPA), FQE-003 (rapport audit interne), FQE-004 (CR revue de direction), FQE-005 (registre formation).","",""
"Que se passe-t-il en cas de non-conformite recurrente ?","procedure_qualite_ISO9001.pdf","Les NC recurrentes (>3 fois en 6 mois) declenchent automatiquement une revue de processus","Toute non-conformite qui survient plus de 3 fois en 6 mois declenche automatiquement une revue de processus.","",""
"Quelles sont les clauses verifiees lors d'un audit interne ISO 9001 ?","checklist_audit_ISO9001.docx","Clauses 4 (Contexte), 5 (Leadership), 6 (Planification), 7 (Support), 8 (Realisation), 9 (Evaluation), 10 (Amelioration)","L'audit interne verifie les clauses 4 a 10 de la norme ISO 9001:2015 : contexte de l'organisation, leadership, planification, support, realisation, evaluation des performances et amelioration.","",""
"Comment les parties interessees sont-elles prises en compte ?","checklist_audit_ISO9001.docx","Les parties interessees pertinentes et leurs exigences sont-elles documentees ? (Clause 4.2)","La clause 4.2 exige que les parties interessees pertinentes et leurs exigences soient identifiees et documentees.","",""
"Quel est le seuil de validation pour la formation qualite ?","formation_qualite_ISO9001.pptx","QCM de 20 questions — Seuil de validation : 14/20 (70%)","Le seuil de validation est 14/20 (70%). En dessous, un recyclage est requis. L'attestation est delivree si le score est >= 70%.","",""
"Quels sont les 7 principes du management qualite ?","formation_qualite_ISO9001.pptx","1. Orientation client 2. Leadership 3. Implication du personnel 4. Approche processus 5. Amelioration 6. Prise de decision fondee sur preuves 7. Management des relations","Les 7 principes sont : 1) Orientation client, 2) Leadership, 3) Implication du personnel, 4) Approche processus, 5) Amelioration, 6) Prise de decision fondee sur preuves, 7) Management des relations.","",""
"Quelle est la frequence du recyclage de formation obligatoire ?","formation_qualite_ISO9001.pptx","Recyclage obligatoire tous les 2 ans (FQE-005)","Le recyclage formation est obligatoire tous les 2 ans, reference document FQE-005 (registre de formation et habilitation).","",""
"Quelle est la tolerance pour la longueur de piece a l'etape decoupe ?","plan_controle_qualite.xlsx","Longueur piece : valeur nominale 120.0 mm, tolerance +/-0.2 mm","La valeur nominale est 120.0 mm avec une tolerance de +/- 0.2 mm (plage : 119.8 a 120.2 mm). Le controle est effectue par metre ruban etalonné sur 10% des pieces.","",""
"Quel est le critere d'acceptation pour le test d'etancheite ?","plan_controle_qualite.xlsx","Test helium : critere < 1e-6 mbar.l/s — Pass/Fail","Le critere d'acceptation pour l'etancheite est un flux de fuite inferieur a 1e-6 mbar.l/s, verifie par test helium a 100% des pieces produites.","",""
"Quel est l'objectif CSAT en novembre 2024 ?","plan_controle_qualite.xlsx","CSAT client (/100) : objectif >= 85, valeur novembre : 90","L'objectif CSAT est >= 85/100. En novembre 2024, la valeur atteinte est 90/100, ce qui est au-dessus de l'objectif.","",""
"Quelle est la temperature de consigne pour le traitement thermique ?","plan_controle_qualite.xlsx","Temperature four : valeur nominale 180.0 degC, tolerance +/-5.0 degC","La temperature de consigne pour le traitement thermique est 180°C avec une tolerance de +/- 5°C (plage : 175-185°C). Le suivi est continu par thermocouple calibre.","",""
"Qu'est-ce que la norme ISO 9001 exige concernant les audits internes ?","checklist_audit_ISO9001.docx / procedure_qualite_ISO9001.pdf","Des audits internes sont programmes et realises (Clause 9.2) / Audit interne minimum une fois par an","La clause 9.2 exige que des audits internes soient programmes et realises. La procedure qualite stipule un minimum d'un audit par an. Le taux de realisation cible est >= 90%.","",""
"Quelle est la PDCA et comment s'applique-t-elle ?","formation_qualite_ISO9001.pptx","PLAN-DO-CHECK-ACT : roue de Deming pour l'amelioration continue","La PDCA (roue de Deming) comprend 4 etapes : PLAN (definir objectifs/methodes), DO (mettre en oeuvre), CHECK (mesurer les resultats vs objectif), ACT (standardiser ou corriger). Elle est le fondement de l'amelioration continue ISO 9001.","",""
"Quels documents ne sont pas disponibles sur le chatbot ?","— (question hors contexte)","— (aucun passage pertinent)","L'information demandee n'est pas disponible dans les documents indexes. Veuillez contacter le Responsable Qualite ou consulter le systeme documentaire officiel.","",""
"Quel est le prix des matieres premieres ?","— (hors domaine QMS)","— (aucun passage pertinent)","Cette information n'est pas disponible dans les documents de management qualite indexes. Le chatbot est limite aux informations documentaires QMS.","",""
